"","Taxagroup","Family","Subfamily","Taxon","gra","min","xyl","shr","gat","aff","pff","pre","par","oth"
"53","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Parachironomus gracilior",4,0,0,0,4,0,0,2,0,0
"54","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Parachironomus tenuicaudatus",1,0,0,0,1,0,0,8,0,0
"55","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Parachironomus varus",0,0,0,0,0,0,0,0,10,0
"56","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Parachironomus vitiosus",5,0,0,0,4,0,0,1,0,0
"57","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Paracladopelma camptolabis",1,0,0,0,8,0,0,1,0,0
"58","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Paracladopelma nigritulum",1,0,0,0,8,0,0,1,0,0
"59","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Paratendipes albimanus",1,0,0,0,8,1,0,0,0,0
"60","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Phaenopsectra flavipes",4,0,0,0,4,2,0,0,0,0
"61","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Phaenopsectra punctipes",4,0,0,0,4,2,0,0,0,0
"62","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Polypedilum acifer",1,0,0,0,8,1,0,0,0,0
"63","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Polypedilum aegyptium",1,0,0,0,8,1,0,0,0,0
"64","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Polypedilum bicrenatum",0,0,0,5,5,0,0,0,0,0
"65","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Polypedilum laetum",1,0,0,0,8,1,0,0,0,0
"66","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Polypedilum nubeculosum",1,0,0,0,8,1,0,0,0,0
"67","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Polypedilum pedestre",1,0,0,0,8,1,0,0,0,0
"68","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Polypedilum pullum",1,0,0,0,8,1,0,0,0,0
"69","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Polypedilum scalaenum",1,0,0,0,8,1,0,0,0,0
"70","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Polypedilum sordens",2,0,0,0,2,6,0,0,0,0
"71","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Polypedilum tritum",2,0,0,0,2,6,0,0,0,0
"72","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Polypedilum uncinatum",0,0,0,5,5,0,0,0,0,0
"73","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Robackia demeijerei",1,0,0,0,8,0,0,1,0,0
"74","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Saetheria reissi",1,0,0,0,8,0,0,1,0,0
"75","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Sergentia coracina",0,0,0,0,8,2,0,0,0,0
"76","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Stenochironomus gibbus",0,0,8,0,2,0,0,0,0,0
"77","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Stictochironomus sticticus",0,0,0,0,8,2,0,0,0,0
"78","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Synendotendipes dispar",2,1,0,0,1,6,0,0,0,0
"79","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Synendotendipes impar",2,1,0,0,1,6,0,0,0,0
"80","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Synendotendipes lepidus",0,0,0,3,4,0,3,0,0,0
"81","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Tribelos intextus",1,0,0,0,8,1,0,0,0,0
"82","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Xenochironomus xenolabis",0,0,0,0,0,0,0,0,10,0
"83","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Zavreliella marmorata",0,0,0,0,10,0,0,0,0,0
"84","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Pseudochironomini","Pseudochironomus prasinatus",1,0,0,0,8,1,0,0,0,0
"85","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Cladotanytarsus mancus",4,0,0,0,2,4,0,0,0,0
"86","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Cladotanytarsus vanderwulpi",2,0,0,0,6,2,0,0,0,0
"87","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra apposita",1,0,0,0,8,1,0,0,0,0
"88","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra atrofasciata",2,0,0,0,7,1,0,0,0,0
"89","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra bidentata",1,0,0,0,8,1,0,0,0,0
"90","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra contracta",0,0,0,0,9,1,0,0,0,0
"91","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra fusca",1,0,0,0,8,1,0,0,0,0
"92","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra groenlandica",0,0,0,0,9,1,0,0,0,0
"93","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra junci",1,0,0,0,8,1,0,0,0,0
"94","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra lindrothi",1,0,0,0,8,1,0,0,0,0
"95","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra notescens",1,0,0,0,8,1,0,0,0,0
"96","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra radialis",0,0,0,0,9,1,0,0,0,0
"97","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra recurvata",1,0,0,0,8,1,0,0,0,0
"98","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Micropsectra roseiventris",1,0,0,0,8,1,0,0,0,0
"99","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Paratanytarsus austriacus",4,0,0,0,3,3,0,0,0,0
"100","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Paratanytarsus dissimilis",4,0,0,0,3,3,0,0,0,0
"101","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Paratanytarsus lauterborni",4,0,0,0,3,3,0,0,0,0
"102","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Rheotanytarsus curtistylus",1,0,0,0,1,0,8,0,0,0
"103","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Rheotanytarsus nigricauda",1,0,0,0,2,0,7,0,0,0
"104","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Rheotanytarsus photophilus",1,0,0,0,1,0,8,0,0,0
"105","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Rheotanytarsus rhenanus",1,0,0,0,1,0,8,0,0,0
"106","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Tanytarsus brundini",3,0,0,0,6,1,0,0,0,0
"107","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Tanytarsus ejuncidus",3,0,0,0,6,1,0,0,0,0
"108","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Tanytarsus eminulus",3,0,0,0,6,1,0,0,0,0
"109","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Tanytarsus heusdensis",1,0,0,0,8,1,0,0,0,0
"110","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Tanytarsus palettaris",1,0,0,0,8,1,0,0,0,0
"111","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Tanytarsus pallidicornis",3,0,0,0,6,1,0,0,0,0
"112","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Tanytarsus sinuatus",1,0,0,0,8,1,0,0,0,0
"113","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Virgatanytarsus arduennensis",3,0,0,0,6,1,0,0,0,0
"114","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Tanytarsini","Zavrelia pentatoma",0,0,0,0,10,0,0,0,0,0
"115","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Boreoheptagyiini","Boreoheptagyia legeri",9,0,0,0,1,0,0,0,0,0
"116","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Boreoheptagyiini","Boreoheptagyia rugosa",9,0,0,0,1,0,0,0,0,0
"117","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa aberrata",7,0,0,0,2,0,0,1,0,0
"118","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa bertrami",8,0,0,0,1,0,0,1,0,0
"119","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa bohemani",7,0,0,0,2,0,0,1,0,0
"120","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa cinerella",7,0,0,0,2,0,0,1,0,0
"121","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa dampfi",7,0,0,0,2,0,0,1,0,0
"122","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa hamaticornis",7,0,0,0,2,0,0,1,0,0
"123","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa incallida",7,0,0,0,2,0,0,1,0,0
"124","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa insignipes",6,0,0,0,3,0,0,1,0,0
"125","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa laticauda",8,0,0,0,1,0,0,1,0,0
"126","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa latitarsis",8,0,0,0,1,0,0,1,0,0
"127","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa lindrothi",8,0,0,0,1,0,0,1,0,0
"128","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa modesta",8,0,0,0,1,0,0,1,0,0
"129","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa permacra",7,0,0,0,2,0,0,1,0,0
"130","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa starmachi",7,0,0,0,2,0,0,1,0,0
"131","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa steinboecki",8,0,0,0,1,0,0,1,0,0
"132","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa tonsa",6,0,0,0,3,0,0,1,0,0
"133","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Diamesa vaillanti",7,0,0,0,2,0,0,1,0,0
"134","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Potthastia gaedii",6,0,0,0,3,0,0,1,0,0
"135","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Potthastia longimana",4,0,0,0,5,0,0,1,0,0
"136","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Pseudodiamesa branickii",0,0,0,0,2,0,0,8,0,0
"137","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Pseudokiefferiella parva",8,0,0,1,1,0,0,0,0,0
"138","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Diamesini","Sympotthastia macrocera",5,0,0,0,4,0,0,1,0,0
"139","Chironomidae","CHIRONOMIDAE","DIAMESINAE-Tribus Protanypini","Protanypus morio",0,0,0,0,0,0,0,10,0,0
"140","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Acamptocladius submontanus",0,0,0,0,10,0,0,0,0,0
"141","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Acricotopus lucens",0,0,0,0,10,0,0,0,0,0
"142","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Brillia bifida",0,0,0,5,5,0,0,0,0,0
"143","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Brillia flavifrons",0,0,0,5,5,0,0,0,0,0
"144","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Bryophaenocladius aestivus",10,0,0,0,0,0,0,0,0,0
"145","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Bryophaenocladius flexidens",10,0,0,0,0,0,0,0,0,0
"146","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Bryophaenocladius ictericus",10,0,0,0,0,0,0,0,0,0
"147","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Bryophaenocladius inconstans",10,0,0,0,0,0,0,0,0,0
"148","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Bryophaenocladius nudisquama",10,0,0,0,0,0,0,0,0,0
"149","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Bryophaenocladius subvernalis",10,0,0,0,0,0,0,0,0,0
"150","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Bryophaenocladius tirolensis",10,0,0,0,0,0,0,0,0,0
"151","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Bryophaenocladius vernalis",10,0,0,0,0,0,0,0,0,0
"152","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Camptocladius stercorarius",0,0,0,0,0,0,0,0,0,10
"153","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cardiocladius capucinus",5,0,0,0,0,0,0,5,0,0
"154","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cardiocladius fuscus",5,0,0,0,0,0,0,5,0,0
"155","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Chaetocladius dentiforceps",3,0,0,0,7,0,0,0,0,0
"156","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Chaetocladius dissipatus",3,0,0,0,7,0,0,0,0,0
"157","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Chaetocladius gelidus",3,0,0,0,7,0,0,0,0,0
"158","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Chaetocladius insolitus",3,0,0,0,7,0,0,0,0,0
"159","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Chaetocladius laminatus",3,0,0,0,7,0,0,0,0,0
"160","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Chaetocladius minutissimus",3,0,0,0,7,0,0,0,0,0
"161","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Chaetocladius perennis",3,0,0,0,7,0,0,0,0,0
"162","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Chaetocladius piger",3,0,0,0,7,0,0,0,0,0
"163","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Chaetocladius suecicus",3,0,0,0,7,0,0,0,0,0
"164","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Chaetocladius vitellinus",3,0,0,0,7,0,0,0,0,0
"165","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura arctica",7,0,0,0,3,0,0,0,0,0
"166","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura carriana",7,0,0,0,3,0,0,0,0,0
"167","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura celeripes",7,0,0,0,3,0,0,0,0,0
"168","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura celtica",7,0,0,0,3,0,0,0,0,0
"169","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura coronata",7,0,0,0,3,0,0,0,0,0
"170","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura edwardsi",7,0,0,0,3,0,0,0,0,0
"171","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura fittkaui",7,0,0,0,3,0,0,0,0,0
"172","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura gratias",7,0,0,0,3,0,0,0,0,0
"173","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura lacustris",7,0,0,0,3,0,0,0,0,0
"174","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura lobata",4,0,0,0,6,0,0,0,0,0
"175","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura minuscula",7,0,0,0,3,0,0,0,0,0
"176","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Corynoneura scutellata",7,0,0,0,3,0,0,0,0,0
"177","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus albiforceps",8,0,0,0,2,0,0,0,0,0
"178","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus algarum",8,0,0,0,2,0,0,0,0,0
"179","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus annulator",8,0,0,0,2,0,0,0,0,0
"180","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus bicinctus",6,0,0,1,3,0,0,0,0,0
"181","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus brevipalpis",0,10,0,0,0,0,0,0,0,0
"182","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus curtus",8,0,0,0,2,0,0,0,0,0
"183","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus cylindraceus",7,0,0,0,3,0,0,0,0,0
"184","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus dobrogicus",6,1,0,2,1,0,0,0,0,0
"185","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus festivellus",7,0,0,0,3,0,0,0,0,0
"186","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus flavocinctus",8,0,0,0,2,0,0,0,0,0
"187","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus fuscus",6,0,0,0,4,0,0,0,0,0
"188","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus intersectus",8,0,0,0,2,0,0,0,0,0
"189","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus lygropis",10,0,0,0,0,0,0,0,0,0
"190","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus ornatus",0,0,0,5,5,0,0,0,0,0
"191","Chironomidae","CHIRONOMIDAE","ORTHOCLADIINAE","Cricotopus patens",8,0,0,0,2,0,0,0,0,0
