Order,Family,Genus,Volt,Sync,Emer1,Emer2,Fe_disp,Flgt,Size,Resp,Rheo,Ther,Loco1,Loco2,Feed1,Feed2,Devl,Adult_life,Exit,Desi,Drft,Crwl,Swim,Atch,Armr,Form,Sali,Ovip_beha,Egg,pH,Fecu,Micro,Diap,Turb,Disp_dis,Disp,Total_life,Sapr,Trop,Dist,Repr,Food,Meta,Ovip,Disp_capa,Flex
Ephemeroptera,Ephemerellidae,Ephemerella,2,1,1,2,1,1,2,2,3,2,1,4,2,4,2,1,1,1,2,2,2,1,1,NA,1,NA,NA,2,NA,4,NA,1,NA,2,NA,3,2,NA,NA,2,2,NA,NA,NA
Ephemeroptera,Ephemerellidae,Serratella,2,1,2,2,1,1,1,2,3,3,1,NA,2,4,2,1,1,1,2,2,2,1,1,NA,1,NA,NA,1,NA,8,NA,1,NA,2,NA,3,2,NA,NA,2,2,NA,NA,NA
Ephemeroptera,Ephemerellidae,Uracanthella,2,NA,1,3,NA,2,2,2,3,3,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ephemeroptera,Ephemeridae,Ephemera,1,2,1,2,1,1,3,2,1,1,2,NA,2,4,2,1,1,1,1,2,2,1,1,NA,1,NA,NA,NA,NA,1,NA,1,2,4,2,3,2,2,2,1,2,NA,NA,NA
Ephemeroptera,Heptageniidae,Cinygmula,2,1,1,2,1,1,2,2,2,1,1,4,4,2,1,1,1,1,2,2,2,1,1,4,NA,NA,NA,NA,NA,4,NA,NA,2,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Ephemeroptera,Heptageniidae,Ecdyonurus,2,1,2,3,NA,NA,1,2,3,1,1,4,4,2,NA,1,NA,NA,NA,NA,NA,1,NA,4,1,NA,NA,NA,3,5,NA,NA,2,4,NA,NA,2,NA,2,NA,2,NA,NA,NA
Ephemeroptera,Heptageniidae,Epeorus,2,1,1,2,1,1,2,2,3,1,1,4,2,4,1,1,1,1,1,2,2,1,1,4,1,NA,NA,1,2,1,NA,NA,2,4,NA,2,1,NA,2,NA,2,2,NA,NA
Ephemeroptera,Heptageniidae,Heptagenia,2,1,2,2,1,1,2,2,2,3,1,4,4,4,1,1,1,1,2,2,2,1,1,4,1,5,NA,NA,3,4,1,NA,2,4,NA,3,2,NA,2,2,2,NA,NA,NA
Ephemeroptera,Heptageniidae,Iron,2,1,1,3,1,1,2,2,3,NA,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,5,NA,NA,2,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Ephemeroptera,Heptageniidae,Notacanthurus,2,1,1,3,1,1,2,2,3,NA,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,5,NA,NA,2,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Ephemeroptera,Heptageniidae,Rhithrogena,2,1,1,2,1,1,2,2,3,1,1,4,2,4,1,1,1,1,2,2,2,1,1,4,1,NA,NA,NA,3,4,NA,1,2,4,NA,2,1,NA,2,2,2,NA,NA,NA
Ephemeroptera,Leptophlebiidae,Habrophlebiodes,2,1,4,3,1,1,1,2,2,1,4,NA,4,NA,1,1,1,1,2,1,2,1,1,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA
Ephemeroptera,Leptophlebiidae,Paraleptophlebia,2,2,1,3,1,1,2,2,3,2,4,NA,2,NA,1,1,1,1,2,2,2,1,1,4,1,NA,NA,NA,3,8,NA,NA,NA,4,NA,2,NA,NA,2,1,2,1,NA,NA
Ephemeroptera,Neoephemeridae,Potamanthellus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A,NA,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Ephemeroptera,Siphlonuridae,Siphluriscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Odonata,Aeshnidae,Cephalaeschna,2,NA,2,2,1,2,1,2,1,2,1,4,1,NA,2,2,2,NA,NA,NA,2,NA,2,3,NA,6,1,NA,NA,8,1,NA,3,2,NA,NA,NA,1,4,NA,2,NA,NA,NA
Odonata,Corduliidae,Macromia,1,1,1,3,2,2,3,2,2,2,1,4,1,NA,2,3,1,1,1,3,1,1,2,2,NA,5,NA,NA,NA,NA,1,NA,3,2,NA,NA,NA,2,3,NA,2,NA,NA,NA
Odonata,Gomphidae,Burmagomphus,1,1,1,2,2,2,3,2,1,3,2,2,1,NA,2,3,2,2,3,3,2,1,2,3,NA,5,NA,NA,NA,1,1,NA,3,3,NA,NA,NA,2,3,3,2,NA,NA,NA
Odonata,Gomphidae,Scalmogomphus,1,1,1,2,2,2,3,2,1,3,2,2,1,NA,2,3,2,2,3,3,2,1,2,3,NA,5,NA,NA,NA,1,1,NA,3,3,NA,NA,NA,2,3,3,2,NA,NA,NA
Plecoptera,Capniidae,Capnia,2,1,4,1,1,1,1,1,3,1,1,4,5,NA,1,1,1,2,2,2,2,1,1,2,1,5,NA,NA,2,7,1,NA,NA,2,NA,2,NA,NA,NA,2,2,3,NA,NA
Plecoptera,Capniidae,Eucapnopsis,2,1,4,2,1,1,1,1,2,1,1,4,5,NA,1,1,1,2,1,2,2,1,1,2,NA,5,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Chloroperlidae,Suwallia,2,1,1,3,1,1,2,1,2,2,1,4,1,4,2,2,1,1,2,2,2,1,1,2,NA,5,NA,NA,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Chloroperlidae,Sweltsa,1,1,1,2,1,1,2,1,3,1,1,4,1,NA,2,2,1,1,2,2,2,1,1,2,NA,5,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Leuctridae,Leuctra,2,1,1,3,1,1,1,1,3,2,1,NA,5,NA,1,1,1,1,2,2,2,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,1,NA,2,2,2,NA,NA,NA
Plecoptera,Leuctridae,Rhopalopsole,NA,NA,2,NA,NA,NA,NA,1,3,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Nemouridae,Amphinemura,2,1,1,3,1,1,1,2,2,1,1,NA,5,NA,1,1,1,2,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,2,2,NA,NA,NA
Plecoptera,Nemouridae,Nemoura,1,1,1,2,1,1,1,1,2,1,1,NA,5,NA,1,1,1,2,2,1,2,1,1,1,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,2,NA,NA,NA
Plecoptera,Nemouridae,Protonemura,2,NA,NA,NA,NA,1,1,1,3,1,1,NA,5,NA,1,1,1,2,1,1,2,1,1,1,1,NA,NA,NA,3,8,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,NA,NA,NA
Plecoptera,Peltoperlidae,Cryptoterla,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plecoptera,Peltoperlidae,Peltoperlopsis,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plecoptera,Peltoperlidae,Yaraperla,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plecoptera,Perlidae,Agetina,2,1,1,2,NA,NA,2,1,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Perlidae,Calineuria,1,2,1,2,2,2,3,2,3,2,1,NA,1,NA,2,2,1,1,1,3,2,1,2,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Perlidae,Kamimuria,2,1,1,2,NA,NA,2,1,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Perlidae,Neoperla,2,2,1,3,2,2,2,2,3,1,1,NA,1,NA,2,2,1,1,1,3,2,1,2,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Perlidae,Niponiella,2,1,1,2,NA,NA,2,1,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Perlidae,Paragnetina,1,2,1,2,2,2,3,2,3,2,1,NA,1,NA,3,2,1,2,1,3,2,1,2,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA
Plecoptera,Perlidae,Togoperla,2,1,1,2,NA,NA,2,1,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Perlodidae,Isoperla,2,1,1,2,1,1,2,1,3,2,1,NA,1,NA,2,1,1,2,2,3,2,1,2,4,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,1,NA,2,3,2,2,NA,NA
Plecoptera,Perlodidae,Paracapnia,2,1,1,1,1,1,1,1,2,1,1,4,5,NA,1,1,1,2,1,2,2,1,1,4,NA,5,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Perlodidae,Stavsolus,2,1,1,2,1,1,NA,1,3,NA,1,NA,1,NA,2,2,1,1,1,2,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Plecoptera,Taeniopterygidae,Oemopteryx,2,1,4,1,1,1,2,1,2,1,1,NA,4,NA,1,1,1,2,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA
Plecoptera,Taeniopterygidae ,Taenionema,2,1,1,2,1,1,2,1,2,1,1,NA,4,4,1,1,1,2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Hemiptera,Corixidae,Corixinae,3,1,NA,NA,2,2,1,3,1,3,2,NA,2,1,1,1,2,2,1,3,3,1,2,NA,NA,6,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA,1,NA,3,2,1,NA,1
Hemiptera,Corixidae,Micronecta,3,1,NA,NA,2,1,1,3,1,3,4,NA,2,1,2,3,2,2,1,3,3,1,3,3,1,6,NA,3,NA,1,1,3,1,4,NA,NA,1,1,1,3,3,2,NA,1
Hemiptera,Naucoridae,Cheirochela,2,1,2,NA,1,1,1,3,3,3,1,NA,1,NA,NA,3,1,1,2,3,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,2,3,NA,NA
Hemiptera,Notonectidae,Notonecta,3,1,NA,NA,2,2,2,3,1,1,1,4,1,NA,1,3,2,2,1,3,3,1,3,NA,1,NA,NA,2,2,8,2,1,NA,4,NA,3,2,2,4,3,3,2,NA,NA
Hemiptera,Pleidae,Paraplea,2,NA,NA,NA,NA,1,1,2,2,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,4,NA,NA,NA,NA,NA
Neuroptera,Osmylidae,Osmylus,2,2,NA,NA,1,1,2,3,2,2,1,NA,1,NA,NA,3,2,2,NA,3,NA,1,2,NA,1,NA,NA,NA,1,8,NA,NA,NA,4,NA,2,1,NA,2,3,NA,2,NA,NA
Megaloptera,Corydalidae,Corydalus,1,1,1,2,1,1,3,1,2,2,1,1,1,NA,2,2,1,1,1,3,1,1,2,2,NA,9,2,NA,3,5,NA,NA,NA,4,NA,1,1,2,2,3,3,NA,NA,3
Megaloptera,Corydalidae,Parachauliodes,1,2,1,2,2,2,3,1,3,1,1,NA,1,NA,3,1,2,2,1,1,1,1,2,2,NA,9,2,NA,3,5,NA,NA,NA,4,NA,1,1,2,2,2,3,NA,NA,NA
Megaloptera,Corydalidae,Protohermes,1,2,1,2,2,2,3,1,3,1,1,NA,1,NA,3,1,2,2,1,1,1,1,2,2,NA,9,2,NA,3,5,NA,NA,NA,4,NA,1,1,2,2,2,3,NA,NA,NA
Trichoptera,Apataniidae,Apatania,2,1,1,2,1,1,2,2,3,1,1,1,4,2,2,2,1,1,1,2,1,2,3,1,NA,5,2,NA,1,4,NA,NA,NA,1,NA,NA,1,NA,NA,2,3,NA,NA,NA
Trichoptera,Beraeidae,Beraea,1,NA,1,1,1,1,2,2,1,2,2,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,NA,NA,NA
Trichoptera,Brachycentridae,Brachycentrus,2,1,1,1,1,1,2,2,3,3,1,NA,3,4,2,2,1,1,1,1,1,3,3,2,1,5,2,NA,NA,NA,NA,1,NA,4,NA,3,1,NA,2,2,3,2,NA,NA
Trichoptera,Brachycentridae,Micrasema,2,1,1,2,1,1,1,2,3,1,1,1,5,2,2,2,1,1,1,1,1,3,3,2,1,5,2,NA,2,NA,NA,1,NA,4,NA,2,1,NA,2,NA,3,2,NA,NA
Trichoptera,Ecnomidae,Ecnomus,2,1,1,NA,1,1,1,1,1,2,3,NA,3,NA,2,2,1,2,1,2,1,2,2,1,1,8,NA,NA,2,8,NA,1,3,NA,1,4,2,NA,2,3,3,1,NA,3
Trichoptera,Glossosomatidae,Agapetus,2,1,1,1,1,1,1,1,3,1,1,NA,4,4,2,2,1,2,1,2,1,1,3,1,1,5,2,2,2,4,1,1,NA,2,NA,NA,1,NA,2,NA,3,NA,NA,NA
Trichoptera,Glossosomatidae,Glossosoma,3,1,1,2,1,1,1,1,3,1,1,NA,4,4,2,2,1,1,1,2,1,1,3,1,1,5,2,2,NA,4,NA,1,NA,2,NA,2,1,NA,NA,NA,3,NA,NA,NA
Trichoptera,Goeridae,Goera,2,1,1,2,1,1,2,2,3,1,1,NA,4,NA,2,2,1,1,1,1,1,1,3,1,NA,NA,NA,NA,2,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
Trichoptera,Hydrobiosidae,Apsilochorema,NA,NA,NA,NA,1,1,2,3,1,2,NA,NA,1,NA,3,2,2,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
Trichoptera,Hydrobiosidae,Atopsyche,NA,NA,4,2,1,2,3,1,3,1,1,NA,1,5,3,2,2,NA,NA,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,3
Trichoptera,Hydropsychidae,Ceratopsyche,2,1,1,2,2,2,2,2,3,2,1,NA,3,4,2,2,2,1,2,2,1,2,1,1,1,5,2,NA,2,4,NA,3,NA,NA,NA,NA,NA,NA,2,1,3,NA,NA,2
Trichoptera,Hydropsychidae,Cheumatopsyche,2,1,1,2,2,2,1,2,3,2,1,2,3,1,2,2,1,1,2,2,1,2,1,1,1,8,2,2,2,5,1,NA,NA,NA,1,NA,NA,NA,2,4,1,NA,NA,3
Trichoptera,Hydropsychidae,Hydropsyche,2,1,1,2,2,2,2,2,3,3,1,4,3,4,2,2,2,1,2,2,1,2,1,1,1,8,2,2,2,4,1,3,NA,NA,NA,3,2,NA,2,1,3,NA,NA,2
Trichoptera,Hydropsychidae,Macrostemum,2,1,1,2,2,2,2,2,3,2,1,NA,3,4,2,2,1,1,2,2,1,2,1,1,1,5,2,4,2,4,NA,3,NA,NA,NA,3,2,NA,2,4,3,NA,NA,2
Trichoptera,Hydropsychidae,Parapsyche,2,1,1,2,1,1,2,2,3,1,1,NA,3,3,2,2,1,1,1,2,1,2,1,1,1,5,2,NA,2,4,NA,3,NA,NA,NA,NA,NA,NA,2,1,3,NA,NA,2
Trichoptera,Hydroptilidae,Ochrotichia,2,NA,1,2,NA,NA,1,1,2,3,1,NA,4,4,1,2,2,2,NA,1,3,1,2,1,NA,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,1,1
Trichoptera,Hydroptilidae,Orthotrichia,2,1,2,2,2,1,1,1,2,1,1,NA,4,4,2,1,1,1,1,1,1,2,2,4,1,5,2,NA,2,8,NA,NA,NA,3,NA,3,3,NA,2,2,3,NA,1,1
Trichoptera,Lepidostomatidae,Lepidostoma,2,1,2,2,1,1,1,2,2,2,1,1,5,4,2,2,1,1,1,1,1,1,1,1,NA,NA,2,2,1,NA,NA,1,NA,4,NA,NA,NA,NA,2,NA,3,NA,NA,NA
Trichoptera,Leptoceridae,Nectopsyche,2,1,2,2,2,1,3,2,2,3,1,4,4,2,2,2,1,1,1,1,2,2,2,1,NA,NA,2,NA,NA,8,NA,2,NA,NA,NA,NA,NA,NA,2,1,3,1,NA,1
Trichoptera,Leptoceridae,Oecetis,2,1,2,3,2,1,2,2,2,2,1,NA,1,NA,2,2,1,1,1,1,2,2,2,1,NA,NA,NA,NA,1,8,NA,NA,NA,4,NA,3,NA,1,2,1,3,1,NA,NA
Trichoptera,Limnephilidae,Clostoeca,NA,2,2,3,1,2,2,2,1,3,1,NA,5,NA,NA,NA,2,2,NA,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA
Trichoptera,Limnephilidae,Ecclisocosmoecus,1,1,2,2,1,1,2,2,3,1,2,NA,4,NA,2,2,1,1,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA
Trichoptera,Limnephilidae,Ecclisomyia,1,1,2,3,1,1,2,2,3,1,1,NA,2,NA,2,2,1,1,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA
Trichoptera,Limnephilidae,Phylloicus,1,1,1,3,1,1,2,2,2,1,1,NA,5,5,2,2,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA
Trichoptera,Limnephilidae,Pseudostenophylax,2,1,2,3,1,1,3,2,2,2,1,NA,5,NA,2,2,1,1,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA
Trichoptera,Limnephilidae,Pycnopsyche,2,1,2,3,1,1,3,2,2,2,1,NA,5,NA,2,2,1,1,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA
Trichoptera,Odontoceridae,Marilia,2,NA,NA,NA,NA,1,3,2,3,NA,1,NA,5,NA,3,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1
Trichoptera,Odontoceridae,Namamyia,2,NA,NA,NA,NA,1,3,2,1,1,1,NA,2,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
Trichoptera,Philopotamidae,Chimarra,2,1,1,NA,1,1,1,1,3,2,1,NA,3,5,2,2,1,1,1,1,1,2,1,NA,NA,8,2,NA,2,1,NA,NA,2,2,NA,NA,NA,NA,2,1,3,1,NA,3
Trichoptera,Phryganopsychidae,Phryganopsyche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A,NA,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichoptera,Polycentropodidae,Cyrnellus,2,1,1,NA,2,1,2,1,3,2,1,NA,3,NA,2,2,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
Trichoptera,Polycentropodidae,Neureclipsis,3,1,1,3,2,1,2,1,3,2,1,NA,3,NA,2,2,1,1,1,1,1,2,1,1,NA,NA,NA,NA,2,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
Trichoptera,Polycentropodidae,Polycentropus,2,1,1,3,2,1,2,1,3,3,1,NA,1,NA,2,2,1,1,1,1,1,2,1,1,NA,NA,NA,1,2,5,NA,NA,NA,4,NA,NA,NA,NA,NA,3,3,NA,NA,NA
Trichoptera,Psychomyiidae,Paduniella,3,NA,1,NA,2,NA,1,1,3,2,1,NA,4,4,NA,2,NA,2,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,2,3,NA,NA,NA
Trichoptera,Psychomyiidae,Tinodes,3,1,1,NA,1,1,2,1,2,3,1,NA,4,4,NA,2,NA,2,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,5,NA,NA,NA,1,NA,NA,NA,NA,2,NA,3,NA,NA,NA
Trichoptera,Rhyacophilidae,Himalopsyche,2,1,1,3,1,1,3,2,3,1,1,NA,1,NA,2,2,1,1,1,3,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA
Trichoptera,Rhyacophilidae ,Rhyacophila,2,1,NA,NA,1,1,2,1,3,2,1,NA,1,4,2,2,1,1,1,3,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA
Trichoptera,Stenopsychidae,Stenopsyche,NA,1,1,NA,2,2,3,3,3,2,1,NA,3,NA,NA,2,2,2,1,1,1,2,2,1,NA,NA,NA,NA,NA,5,NA,NA,NA,3,NA,NA,NA,3,NA,NA,3,1,NA,NA
Trichoptera,Uenoidae,Sericostriata,1,NA,NA,NA,NA,NA,1,2,3,1,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
Trichoptera,Uenoidae,Uenoa,NA,NA,NA,NA,NA,NA,1,2,3,2,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
