v.19.2.18,,,Trait category,MORPHOLOGY,,,,,LIFE HISTORY,,,,LIFE HISTORY,,,LIFE HISTORY,,LIFE HISTORY,,,,,LIFE HISTORY,,,LIFE HISTORY,,,,LIFE HISTORY,,,MOBILITY,,,MOBILITY,,,,MORPHOLOGY,,,MORPHOLOGY,,,,RESOURCE ACQUISITION,,,,,,RESOURCE ACQUISITION,,,MORPHOLOGY,,,,LIFE HISTORY,,
Hexapoda,Collembola,Collembola,Collembola,3,0,0,0,0,2,2,0,0,0,0,3,3,0,0,2,2,2,0,0,0,3,2,0,2,0,0,2,0,2,2,2,0,0,0,0,0,2,0,0,0,3,0,3,3,3,0,0,0,0,0,3,0,0,0,3,3,0,0
Crustacea,Copepoda,Copepoda,Copepoda,3,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,2,2,2,1,0,3,0,3,0,0,0,0,3,3,0,0,2,2,2,0,0,3,0,2,0,3,0,0,2,0,2,2,0,0,0,3,3,0,0,0,3,0,0
Crustacea,Amphipoda/Phreatogammaridae,Phreatogammaridae,Phreatogammaridae,2,2,2,1,0,3,0,0,0,0,2,3,3,0,0,0,0,1,2,0,0,3,0,3,0,0,0,0,3,2,2,0,2,2,2,0,0,3,0,0,3,1,0,0,1,3,0,0,0,0,0,3,0,3,0,0,3,0,0
Crustacea,Isopoda,Isopoda,Isopoda,0,0,3,1,0,3,0,0,0,0,3,0,3,1,0,0,0,1,3,0,0,3,0,3,0,0,0,0,3,3,2,0,1,2,3,0,0,3,0,0,3,2,0,2,3,3,0,1,0,0,0,3,0,3,0,0,3,0,0
Crustacea,Mysidae,Mysidae,Mysidae,0,0,3,0,0,3,0,0,0,0,2,2,1,2,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,3,0,3,1,0,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,3,3,0,0,0,3,0,0
Crustacea,Ostracoda,Ostracoda,Ostracoda,3,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,2,2,0,3,0,1,0,3,0,0,0,2,2,3,0,0,2,3,1,0,3,0,0,0,3,0,1,2,2,3,0,2,0,0,0,3,3,0,0,0,3,0,0
Crustacea,Amphipoda/Paracalliopidae,Paracalliope,Paracalliope fluviatilis,3,0,0,0,0,3,0,0,0,0,3,2,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,3,0,3,3,0,0,0,3,0,0,3,0,0,0,3,2,0,0,0,0,0,3,0,3,0,0,3,0,0
Crustacea,Amphipoda/Paraleptamphopidae,Paraleptamphopus,Paraleptamphopus caeruleus,3,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,2,2,0,0,3,2,0,0,3,0,0,3,1,0,0,3,3,0,0,0,0,0,3,0,3,0,0,3,0,0
Crustacea,Decapoda/Parastacidae,Paranephrops,Paranephrops,0,0,0,0,3,0,3,0,0,1,3,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,2,2,1,3,2,0,0,3,0,0,0,3,0,3,2,0,0,3,0,0,0,3,0,3,0,0,3,0,0
Crustacea,Decapoda/Atyidae,Paratya,Paratya curvirostris,0,0,0,3,0,0,0,0,3,0,3,0,3,0,0,0,0,3,2,0,0,3,0,3,0,0,0,0,3,0,0,3,2,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,3,0,3,0,0,3,0,0
Crustacea,Phreatiocidae,Phreatoicus,Phreatoicus,0,0,3,1,0,3,0,0,0,0,3,0,3,0,0,0,0,1,3,0,0,3,0,3,0,0,0,0,3,3,0,0,0,1,3,0,0,3,1,0,2,2,0,1,1,3,0,0,0,0,0,3,0,3,0,0,3,0,0
Crustacea,Amphipoda/Phreatogammaridae,Phreatogammarus,Phreatogammarus fragilis,0,0,3,2,0,3,0,0,0,0,2,0,3,0,0,0,0,1,2,0,0,3,0,3,0,0,0,0,3,2,2,0,2,2,3,0,0,3,0,0,3,3,0,1,1,3,0,0,0,0,0,3,0,3,0,0,3,0,0
Crustacea,Syncarida,Syncarida,Syncarida,3,0,0,0,0,3,0,0,0,0,2,2,3,0,0,0,0,2,2,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,3,0,3,0,0,1,3,0,0,0,0,0,3,0,2,0,0,3,0,0
Crustacea,Tanaidacea,Sinelobus,Sinelobus stanfordi,3,0,0,0,0,3,0,0,0,0,2,2,0,2,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,3,2,0,1,3,2,0,0,3,0,0,2,3,0,0,2,3,2,0,0,0,2,2,3,0,0,0,3,0,0
Diptera,Tipulidae,Aphrophila,Aphrophila neozelandica,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,2,2,2,2,0,0,3,2,2,2,0,3,0,0,2,2,1,0,1,3,0,0,0,3,0,0,3,0,0,3,3,0,3,0,0,0,3,2,0,0,0,0,0,3
Diptera,Simuliidae,Austrosimulium,Austrosimulium,0,3,0,0,0,0,3,0,0,0,0,3,3,2,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,1,0,3,0,0,0,0,3,1,3,0,0,0,0,3
Diptera,Blephariceridae,Blephariceridae,Blephariceridae,0,3,3,0,0,0,0,0,0,0,3,0,3,0,0,3,1,0,0,0,0,3,0,3,0,0,0,3,0,3,2,0,0,0,0,3,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,0,3
Diptera,Ceratopogonidae,Ceratopogonidae,Ceratopogonidae,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,2,2,2,2,2,3,0,1,3,1,0,0,3,0,0,3,0,0,3,0,1,2,2,3,0,0,0,0,0,3
Diptera,Chironomidae,Chironomus,Chironomus zealandicus,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,3,0,3,3,3,0,0,0,3,0,2,2,1,0,1,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Orthocladiinae,Corynoneura,Corynoneura scutellata,3,0,0,0,0,3,2,0,0,0,0,3,3,0,0,3,0,0,0,3,0,3,0,3,0,0,0,3,0,0,2,2,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Orthocladiinae,Cricotopus,Cricotopus,0,3,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,1,0,3,2,0,0,0,3,3,0,2,2,0,0,2,1,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Chironomidae,Cryptochironomus,Cryptochironomus,0,0,3,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,2,2,1,0,1,3,0,0,0,3,0,0,3,0,0,1,0,0,3,0,0,2,2,3,0,0,0,0,0,3
Diptera,Culicidae,Culex,Culex,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,3,0,0,3
Diptera,Culicidae,Culicidae,Culicidae,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,0,2,3,0,0,0,3,3,0,2,0,2,2,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,1,0,3,0,0,0,0,3,1,0,0,3,0,0,3
Diptera,Diamesinae,Diamesinae,Diamesinae,0,3,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,2,2,0,0,0,3,0,0,3,0,0,3,2,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Dolichopodidae,Dolichopodidae,Dolichopodidae,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,2,0,0,2,2,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3?,0,0,0,0,0,3,0,0,3
Diptera,Empididae,Empididae,Empididae,2,2,0,0,0,2,2,0,0,0,3,0,3,0,0,2,2,2,2,0,0,3,0,0,2,0,0,3,0,0,0,3,0,2,2,0,0,0,3,0,0,3,0,0,1,0,0,3,0,0,2,2,1,0,0,3,0,0,3
Diptera,Ephydridae,Ephydridae,Ephydridae,0,3,0,0,0,2,2,0,0,0,0,3,3,0,0,2,2,2,2,0,0,3,0,0,3,0,3,0,0,0,0,3,0,2,2,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0,3
Diptera,Tipulidae,Eriopterini,Eriopterini,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,1,0,0,3,0,0,2,2,2,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,2,0,0,3?,0,3,1
Diptera,Orthocladiinae,Eukiefferiella,Eukiefferiella,3,0,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,2,2,2,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,2,2,3,0,0,0,0,0,3
Diptera,Chironomini,Harrisius,Harrisius,3,0,0,0,0,2,2,0,0,0,0,3,3,0,0,2,0,0,0,0,0,3,0,3,0,0,0,3,0,2,2,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3
Diptera,Orthocladiinae,Kaniwhaniwhanus,Kaniwhaniwhanus,3,0,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,2,2,0,3,0,0,0,0,3,0,0,3,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,3
Diptera,Muscidae,Limnophora,Limnophora,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,2,2,0,0,0,0,3,0,0,3
Diptera,Tipulidae/Limonini,Limonia,Limonia nigrescens,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,2,2,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,2,0,3,0,0,0,0,0,3,0,0,3
Diptera,Diamesinae,Lobodiamesa,Lobodiamesa campbelli,3,0,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,2,2,0,0,0,3,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Diptera,Chironomidae,Macropelopiini,Macropelopiini 1,0,2,3,0,0,0,3,0,0,0,2,2,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,2,2,0,0,2,2,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3
Diptera,Diamesinae,Maoridiamesa,Maoridiamesa,0,3,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,?,3,0,0,3,0,2,2,1,0,3,0,1,0,0,3,0,0,3,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,3
Diptera,Tanyderidae,Mischoderus,Mischoderus,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,?,0,0,3,0,0,2,2,0,0,1,2,0,0,0,3,0,0,3,0,0,0,3,0,0,0,2?,2,0,3,3,0,0,0,0,3
Diptera,Tipulidae/Eriopterini,Molophilus,Molophilus,0,3,0,0,0,0,3,0,0,0,3,0,3,0,2,2,2,2,2,0,0,3,0,?,0,0,3,0,0,0,3,2,0,0,3,0,0,0,3,0,0,3,0,3?,3,0,0,0,0,2?,2,0,0,0,0,3,0,3,?
Diptera,Chironomidae,Naonella,Naonella,3,0,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,3,2,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Blephariceridae,Neocurupira,Neocurupira hudsoni,0,3,0,0,0,2,2,0,0,0,3,0,3,0,0,3,1,0,0,0,0,3,0,3,0,0,0,3,0,3,2,0,0,0,0,3,0,2,0,3,2,1,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,0,3
Diptera,Ephydridae,Scatella,Scatella vittithorax,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,2,2,0,0,3,0,0,3,0,3,0,0,0,0,3,0,2,2,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0,3
Diptera,Dixidae,Nothodixa,Nothodixa,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,2,2,0,2,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3
Diptera,Stratiomyidae,Odontomyia,Odontomyia,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,2,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3
Diptera,Orthocladiinae,Orthocladiinae,Orthocladiinae,3,3,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,3,3,0,0,0,3,0,2,2,2,0,3,2,1,0,0,3,0,0,3,0,0,3,2,0,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Dixidae,Paradixa,Paradixa,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,2,2,0,2,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3
Diptera,Tipulidae/Hexatomini,Paralimnophila,Paralimnophila skusei,0,0,3,0,0,2,2,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,1,0,0,3,0,0,2,2,2,0,2,2,0,0,0,3,0,0,3,0,0,0,2,0,3,0,2,2,0,0,0,0,3,0,3,?
Diptera,Tanytarsini,Paratanytarsus,Paratanytarsus grimmi,0,3,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,3,0,3,0,3,0,0,0,3,0,0,2,2,0,3,0,0,0,0,3,0,0,3,0,0,3,0,1,0,0,0,1,3,3,0,0,0,0,0,3
Diptera,Chironomidae,Paratrichocladius,Paratrichocladius,0,3,0,0,0,3,1,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,2,2,0,0,2,2,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Chironomidae/Podonominae,Parochlus,Parochlus,3,0,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Chironomidae,Paucispinigera,Paucispinigera approximata,3,1,0,0,0,2,2,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,0,2,2,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Diptera,Pelecorhynchidae,Pelecorhynchidae,Pelecorhynchidae,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,?,0,3,0,0,2,2,0,0,1,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3?,0,0,3,0,0,0,0,3,0
Diptera,Blephariceridae,Peritheates,Peritheates,0,3,0,0,0,2,2,0,0,0,3,0,3,0,0,3,1,0,0,0,0,3,0,3,0,0,0,3,0,3,2,0,0,0,0,3,0,2,0,3,2,1,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,0,3
Diptera,Chironomidae,Pirara,Pirara,3,0,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,2,2,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Podonominae,Podonominae,Podonominae,0,3,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Diptera,Chironomini,Polypedilum,Polypedilum canum,0,3,0,0,0,0,3,0,0,0,2,3,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,0,2,2,0,0,3,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Orthocladiinae,Psectrocladius,Psectrocladius,0,3,1,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,2,0,2,2,0,0,0,3,0,0,3,0,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Psychodidae,Psychoda,Psychoda,3,0,0,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,1,3,0,0,3,0,0,0,0,2?,2,0,1,0,0,3,0,0,3
Diptera,Sciomyzidae,Sciomyzidae,Sciomyzidae,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,2,2,2,0,0,0,3,0,0,3,0,3,0,0,0,0,3,1,2,2,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,3
Diptera,Chironomidae,Stictocladius,Stictocladius,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,0,2,2,1,2,2,0,0,0,3,0,0,3,0,0,0,0,0,3?,0,3,0,0,3,0,0,0,0,0,3
Diptera,Syrphidae,Syrphidae,Syrphidae,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,3,0,0,0,3,0,3,0
Diptera,Tabanidae,Tabanidae,Tabanidae,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,2,2,0,0,3,0,0,3,0,0,3,0,0,0,3,0,1,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3?,0,0,0,0,0,3,0,3,0
